Sales,CO2_Emissions,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj_Close,Tesla_Volume,GDP Deflator,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel,Chip_Cost,Electricity_Price
35526.0,5449.900033,1.615999857142857,1.6404762857142856,1.5794285714285716,1.6189524285714287,1.6189524285714287,17116928.57142857,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.9,0.125
35526.0,,1.5596843157894738,1.5924561052631578,1.5219999473684211,1.5555789473684212,1.5555789473684212,23134342.10526316,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.2,0.125
35526.0,,1.5760578695652172,1.604637739130435,1.548695652173913,1.5805797826086958,1.5805797826086958,21236934.782608695,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.1,0.127
35526.0,,1.7526333,1.78156675,1.7092999,1.74439995,1.74439995,22421175.0,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.0,0.127
35526.0,,1.8423490952380954,1.8746983809523807,1.7946984761904763,1.8408571904761903,1.8408571904761903,21677714.285714287,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.0,0.129
35526.0,,1.8719697727272726,1.9128788181818182,1.8280303181818183,1.8589393181818181,1.8589393181818181,27086795.454545453,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,62.1,0.134
35526.0,,1.89843335,1.9325332499999999,1.86596665,1.8942667499999999,1.8942667499999999,15826575.0,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.8,0.135
35526.0,,1.6664637826086959,1.7089565652173915,1.609333391304348,1.6546376956521738,1.6546376956521738,17749369.56521739,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.6,0.135
35526.0,,1.6423173809523808,1.6809206666666667,1.5973650952380951,1.6406348571428573,1.6406348571428573,12872500.0,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,60.9,0.135
35526.0,,1.8126031904761906,1.860857142857143,1.7767936666666666,1.8332380000000001,1.8332380000000001,15473285.714285715,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,61.1,0.13
35526.0,,2.11939680952381,2.176127,2.0757143333333334,2.138666761904762,2.138666761904762,18462000.0,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,60.7,0.128
35526.0,,2.0015555714285713,2.038254,1.9586666666666666,1.998666619047619,1.998666619047619,15091785.714285715,0.830126487,5.78,24.75,17.41,28.13,26.9,9.08,46.33,,,,60.2,0.127
106342.0,5229.594013,1.8503999,1.8847,1.7973,1.8326665500000001,1.8326665500000001,19207425.0,0.847304604,0.0,25.8,18.36,29.62,21.33,7.6,44.13,,,,59.7,0.128
