,Sales,CO2_Emissions,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj_Close,Tesla_Volume,GDP Deflator,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel,Chip_Cost,Electricity_Price
Sales,1.0,-0.4845553757397322,0.8108798321749847,0.8135481228851404,0.8087071394124298,0.8112966384253482,0.8112966384253482,0.5504426518453741,0.9600345896206545,-0.4654901155069304,-0.5566665677688822,-0.5741648641906366,-0.36926265671195535,-0.47724981696016655,-0.5024008708625892,-0.6569826427916609,,,,-0.8835517987680852,0.41900352144318354
CO2_Emissions,-0.4845553757397322,1.0,-0.5419060821585775,-0.5385909868542604,-0.5394718051585703,-0.538449475536788,-0.538449475536788,-0.19546084639243927,-0.6093280045181545,0.5749580109789181,0.6903100886650674,0.6683844377594531,0.6931519923848039,0.7993316237898399,0.8401840200134342,0.8445558355947733,,,,0.669365062608596,-0.4866874878197101
Tesla_Open,0.8108798321749847,-0.5419060821585775,1.0,0.9999620847031754,0.9999293810840897,0.9999668241962837,0.9999668241962837,0.5724955289163518,0.9072172746167063,-0.5250773861519313,-0.7605547803389533,-0.7749853133054506,-0.5811008038369426,-0.6270735356504626,-0.6192649817510358,-0.44580671309897457,,,,-0.8541390859068819,0.7141972745046871
Tesla_High,0.8135481228851404,-0.5385909868542604,0.9999620847031754,1.0,0.9998529604132947,0.9999578380275068,0.9999578380275068,0.5765292982201518,0.908745758494808,-0.5255984434696166,-0.7589654078804305,-0.7735713327822858,-0.5786138114135906,-0.6260649584330541,-0.6180124529547547,-0.4461400218127683,,,,-0.8549614768601886,0.7132478224684846
Tesla_Low,0.8087071394124298,-0.5394718051585703,0.9999293810840897,0.9998529604132947,1.0,0.9999575261266974,0.9999575261266974,0.5671653313669495,0.9061593320389281,-0.5247002123978054,-0.7622142301518047,-0.77651323067825,-0.5834886699562931,-0.6282599630151473,-0.6204510556950671,-0.4454076231263886,,,,-0.853416774981184,0.7154470655609492
Tesla_Close,0.8112966384253482,-0.538449475536788,0.9999668241962837,0.9999578380275068,0.9999575261266974,1.0,1.0,0.5720530988946028,0.9076326101844545,-0.525080583683002,-0.7605219076015128,-0.7750071538763311,-0.5809974060473073,-0.6271496144927889,-0.619126031674672,-0.445859587463514,,,,-0.8541975947847705,0.7142818702128302
Tesla_Adj_Close,0.8112966384253482,-0.538449475536788,0.9999668241962837,0.9999578380275068,0.9999575261266974,1.0,1.0,0.5720530988946028,0.9076326101844545,-0.525080583683002,-0.7605219076015128,-0.7750071538763311,-0.5809974060473073,-0.6271496144927889,-0.619126031674672,-0.445859587463514,,,,-0.8541975947847705,0.7142818702128302
Tesla_Volume,0.5504426518453741,-0.19546084639243927,0.5724955289163518,0.5765292982201518,0.5671653313669495,0.5720530988946028,0.5720530988946028,1.0,0.5571873211983175,-0.4387978325257609,-0.20942165095491466,-0.24294157714328926,-0.04804865279841235,-0.21911014898299147,-0.22787009725141325,-0.1581316864346373,,,,-0.47766617962289853,0.3906149540645153
GDP Deflator,0.9600345896206545,-0.6093280045181545,0.9072172746167063,0.908745758494808,0.9061593320389281,0.9076326101844545,0.9076326101844545,0.5571873211983175,1.0,-0.5833753772629402,-0.7006802597357648,-0.714150461272361,-0.518447562484962,-0.6245937528708443,-0.6499204075984347,-0.665845693205942,,,,-0.9493955010470251,0.528085905069536
Coal,-0.4654901155069304,0.5749580109789181,-0.5250773861519313,-0.5255984434696166,-0.5247002123978054,-0.525080583683002,-0.525080583683002,-0.4387978325257609,-0.5833753772629402,1.0,0.38600050509611217,0.40789195468563605,0.27563267406572817,0.6642260006515758,0.7199686085272486,0.42933057086904863,,,,0.6893668429836831,-0.3888411146268304
